Voltage,Current,Power,Energy,Frequency,PF
222.0000,0.1000,7.5000,0.2130,50.0000,0.3400
222.0000,0.1000,7.5000,0.2130,50.0000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
223.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
223.0000,0.1000,7.5000,0.2130,49.9000,0.3400
223.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
223.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,50.0000,0.3400
223.0000,0.0990,7.5000,0.2130,49.9000,0.3400
223.0000,0.0990,7.5000,0.2130,49.9000,0.3400
223.0000,0.1000,7.5000,0.2130,50.0000,0.3400
223.0000,0.1000,7.5000,0.2130,50.0000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
223.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,50.0000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
223.0000,0.0990,7.5000,0.2130,49.9000,0.3400
223.0000,0.1000,7.5000,0.2130,49.9000,0.3400
223.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
223.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,50.0000,0.3400
222.0000,0.1000,7.5000,0.2130,50.0000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.1000,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0980,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,49.9000,0.3400
222.0000,0.0990,7.5000,0.2130,50.0000,0.3400
223.0000,0.0990,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2130,50.0000,0.3400
222.0000,0.0980,7.5000,0.2130,50.0000,0.3400
222.0000,0.0980,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2130,50.0000,0.3400
223.0000,0.0980,7.5000,0.2140,50.0000,0.3400
223.0000,0.0980,7.5000,0.2140,50.0000,0.3400
223.0000,0.0980,7.5000,0.2140,50.0000,0.3400
223.0000,0.0980,7.5000,0.2140,50.0000,0.3400
223.0000,0.0980,7.5000,0.2140,50.0000,0.3400
223.0000,0.0980,7.5000,0.2140,50.0000,0.3400
