Voltage,Current,Power,Energy,Frequency,PF
224.0000,0.2920,58.5000,0.2160,50.0000,0.9000
224.0000,0.2880,57.6000,0.2160,50.0000,0.8900
224.0000,0.2970,59.7000,0.2160,50.0000,0.9000
224.0000,0.2980,59.8000,0.2160,50.0000,0.9000
224.0000,0.2960,59.5000,0.2170,50.0000,0.9000
224.0000,0.2980,59.9000,0.2170,50.0000,0.9000
224.0000,0.2960,59.5000,0.2170,50.0000,0.9000
224.0000,0.2940,59.1000,0.2170,50.0000,0.9000
224.0000,0.2950,59.3000,0.2170,50.0000,0.9000
224.0000,0.2950,59.3000,0.2170,50.0000,0.9000
224.0000,0.2940,59.1000,0.2170,50.0000,0.9000
224.0000,0.2950,59.3000,0.2170,50.0000,0.9000
224.0000,0.2950,59.2000,0.2170,50.0000,0.9000
224.0000,0.2950,59.1000,0.2170,50.0000,0.9000
224.0000,0.2950,59.2000,0.2170,50.0000,0.9000
224.0000,0.2940,58.9000,0.2170,50.0000,0.9000
224.0000,0.2960,59.4000,0.2170,50.0000,0.9000
224.0000,0.2930,58.8000,0.2170,50.0000,0.9000
224.0000,0.2960,59.5000,0.2170,50.0000,0.9000
224.0000,0.2940,59.0000,0.2170,50.0000,0.9000
224.0000,0.2940,59.0000,0.2170,50.0000,0.9000
224.0000,0.2980,59.8000,0.2170,50.0000,0.9000
224.0000,0.2950,59.2000,0.2170,50.0000,0.9000
224.0000,0.2950,59.1000,0.2170,50.0000,0.9000
224.0000,0.2940,58.9000,0.2170,50.0000,0.9000
224.0000,0.2940,59.0000,0.2170,50.0000,0.9000
224.0000,0.2950,59.3000,0.2170,50.0000,0.9000
224.0000,0.2940,59.0000,0.2170,50.0000,0.9000
224.0000,0.2950,59.3000,0.2170,50.0000,0.9000
224.0000,0.2940,59.1000,0.2170,50.0000,0.9000
224.0000,0.2940,59.1000,0.2170,50.0000,0.9000
224.0000,0.2950,59.1000,0.2170,50.0000,0.9000
224.0000,0.2950,59.1000,0.2170,50.0000,0.9000
224.0000,0.2940,59.0000,0.2170,50.0000,0.9000
224.0000,0.2950,59.2000,0.2180,50.0000,0.9000
224.0000,0.3040,60.9000,0.2180,50.0000,0.9000
224.0000,0.3020,60.9000,0.2180,50.0000,0.9000
224.0000,0.2970,59.6000,0.2180,50.0000,0.9000
224.0000,0.2950,59.4000,0.2180,50.0000,0.9000
224.0000,0.2980,59.9000,0.2180,50.0000,0.9000
224.0000,0.2950,59.3000,0.2180,50.0000,0.9000
224.0000,0.3010,60.5000,0.2180,50.0000,0.9000
224.0000,0.2950,59.2000,0.2180,50.0000,0.9000
224.0000,0.2960,59.5000,0.2180,50.0000,0.9000
224.0000,0.2960,59.6000,0.2180,50.0000,0.9000
224.0000,0.2960,59.4000,0.2180,50.0000,0.9000
224.0000,0.2970,59.6000,0.2180,50.0000,0.9000
224.0000,0.2960,59.4000,0.2180,50.0000,0.9000
224.0000,0.2960,59.5000,0.2180,50.0000,0.9000
224.0000,0.2960,59.4000,0.2180,50.0000,0.9000
224.0000,0.2960,59.5000,0.2180,50.0000,0.9000
224.0000,0.2960,59.6000,0.2180,50.0000,0.9000
224.0000,0.2970,59.7000,0.2180,50.0000,0.9000
224.0000,0.2970,59.7000,0.2180,50.0000,0.9000
224.0000,0.2960,59.4000,0.2180,50.0000,0.9000
224.0000,0.2970,59.6000,0.2180,50.0000,0.9000
224.0000,0.2970,59.6000,0.2180,50.0000,0.9000
224.0000,0.2990,60.1000,0.2180,50.0000,0.9000
224.0000,0.2970,59.6000,0.2180,50.0000,0.9000
224.0000,0.2980,59.8000,0.2180,50.0000,0.9000
224.0000,0.2970,59.7000,0.2180,50.0000,0.9000
223.0000,0.3030,60.9000,0.2180,50.0000,0.9000
223.0000,0.2980,59.8000,0.2180,50.0000,0.9000
223.0000,0.2980,59.8000,0.2190,50.0000,0.9000
223.0000,0.2980,59.8000,0.2190,50.0000,0.9000
224.0000,0.2960,59.5000,0.2190,50.0000,0.9000
223.0000,0.2970,59.8000,0.2190,50.0000,0.9000
224.0000,0.2970,59.6000,0.2190,50.0000,0.9000
224.0000,0.2980,60.0000,0.2190,50.0000,0.9000
223.0000,0.2970,59.6000,0.2190,50.0000,0.9000
223.0000,0.2980,59.9000,0.2190,50.0000,0.9000
223.0000,0.2980,59.7000,0.2190,50.0000,0.9000
223.0000,0.2960,59.4000,0.2190,50.0000,0.9000
223.0000,0.2970,59.6000,0.2190,50.0000,0.9000
223.0000,0.2960,59.4000,0.2190,50.0000,0.9000
223.0000,0.2980,59.8000,0.2190,50.0000,0.9000
223.0000,0.2970,59.7000,0.2190,50.0000,0.9000
224.0000,0.2970,59.6000,0.2190,50.0000,0.9000
223.0000,0.2970,59.7000,0.2190,50.0000,0.9000
223.0000,0.2980,59.7000,0.2190,50.0000,0.9000
223.0000,0.2970,59.6000,0.2190,50.0000,0.9000
224.0000,0.2970,59.6000,0.2190,50.0000,0.9000
224.0000,0.2980,59.8000,0.2190,50.0000,0.9000
224.0000,0.2960,59.5000,0.2190,50.0000,0.9000
224.0000,0.2970,59.6000,0.2190,50.0000,0.9000
224.0000,0.2990,60.0000,0.2190,50.0000,0.9000
224.0000,0.2980,59.8000,0.2190,50.0000,0.9000
224.0000,0.2980,59.9000,0.2190,50.0000,0.9000
224.0000,0.2970,59.6000,0.2190,50.0000,0.9000
224.0000,0.2970,59.6000,0.2190,50.0000,0.9000
224.0000,0.2990,60.3000,0.2190,50.0000,0.9000
224.0000,0.2980,59.9000,0.2190,50.0000,0.9000
224.0000,0.2980,59.9000,0.2190,50.0000,0.9000
224.0000,0.2970,59.7000,0.2200,50.0000,0.9000
223.0000,0.2980,59.9000,0.2200,50.0000,0.9000
223.0000,0.2960,59.5000,0.2200,50.0000,0.9000
223.0000,0.2970,59.7000,0.2200,50.0000,0.9000
223.0000,0.2960,59.4000,0.2200,50.0000,0.9000
223.0000,0.2980,60.0000,0.2200,50.0000,0.9000
224.0000,0.2950,59.3000,0.2200,50.0000,0.9000
224.0000,0.3700,75.2000,0.2200,50.0000,0.9100
223.0000,0.3490,70.6000,0.2200,50.0000,0.9100
224.0000,0.3490,70.8000,0.2200,50.0000,0.9100
224.0000,0.3490,70.7000,0.2200,50.0000,0.9100
224.0000,0.3480,70.5000,0.2200,50.0000,0.9100
224.0000,0.3500,70.8000,0.2200,50.0000,0.9100
224.0000,0.3220,65.3000,0.2200,50.0000,0.9100
224.0000,0.2970,59.7000,0.2200,50.0000,0.9000
224.0000,0.2980,59.9000,0.2200,50.0000,0.9000
224.0000,0.2970,59.7000,0.2200,50.0000,0.9000
224.0000,0.2980,59.9000,0.2200,50.0000,0.9000
224.0000,0.2970,59.5000,0.2200,50.0000,0.9000
