Voltage,Current,Power,Energy,Frequency,PF
231.0000,0.3150,62.2000,0.3550,50.0000,0.8600
230.0000,0.3200,63.4000,0.3550,50.0000,0.8600
230.0000,0.3170,62.6000,0.3550,50.0000,0.8600
230.0000,0.3140,62.0000,0.3550,50.0000,0.8600
230.0000,0.3150,62.2000,0.3550,50.0000,0.8600
230.0000,0.3170,62.7000,0.3550,49.9000,0.8600
230.0000,0.3170,62.7000,0.3550,50.0000,0.8600
230.0000,0.3170,62.7000,0.3560,50.0000,0.8600
230.0000,0.3150,62.3000,0.3560,50.0000,0.8600
230.0000,0.3140,62.2000,0.3560,50.0000,0.8600
230.0000,0.3170,62.7000,0.3560,50.0000,0.8600
230.0000,0.3140,62.1000,0.3560,50.0000,0.8600
230.0000,0.3150,62.3000,0.3560,49.9000,0.8600
230.0000,0.3170,62.7000,0.3560,50.0000,0.8600
230.0000,0.3150,62.3000,0.3560,50.0000,0.8600
230.0000,0.3150,62.2000,0.3560,49.9000,0.8600
230.0000,0.3180,62.9000,0.3560,49.9000,0.8600
230.0000,0.3190,63.0000,0.3560,50.0000,0.8600
230.0000,0.3390,67.5000,0.3560,50.0000,0.8700
231.0000,0.3190,63.2000,0.3560,49.9000,0.8600
231.0000,0.3220,63.6000,0.3560,50.0000,0.8600
230.0000,0.3180,63.1000,0.3560,50.0000,0.8600
230.0000,0.3150,62.3000,0.3560,50.0000,0.8600
230.0000,0.3170,62.9000,0.3560,49.9000,0.8600
230.0000,0.3160,62.5000,0.3560,49.9000,0.8600
230.0000,0.3220,63.6000,0.3560,50.0000,0.8600
230.0000,0.3140,62.1000,0.3560,50.0000,0.8600
230.0000,0.3140,62.1000,0.3560,49.9000,0.8600
230.0000,0.3170,62.8000,0.3560,50.0000,0.8600
231.0000,0.3140,62.3000,0.3560,50.0000,0.8600
231.0000,0.3160,62.5000,0.3560,50.0000,0.8600
231.0000,0.3150,62.5000,0.3560,50.0000,0.8600
231.0000,0.3160,62.5000,0.3560,49.9000,0.8600
231.0000,0.3180,63.0000,0.3560,50.0000,0.8600
231.0000,0.3200,63.4000,0.3570,50.0000,0.8600
231.0000,0.3200,63.6000,0.3570,50.0000,0.8600
231.0000,0.3310,65.9000,0.3570,50.0000,0.8600
231.0000,0.3330,66.2000,0.3570,50.0000,0.8600
231.0000,0.3360,66.9000,0.3570,50.0000,0.8600
230.0000,0.3340,66.5000,0.3570,50.0000,0.8600
230.0000,0.3320,65.8000,0.3570,50.0000,0.8600
231.0000,0.3290,65.5000,0.3570,50.0000,0.8600
231.0000,0.3180,62.9000,0.3570,50.0000,0.8600
230.0000,0.3160,62.5000,0.3570,50.0000,0.8600
230.0000,0.3180,63.0000,0.3570,50.0000,0.8600
230.0000,0.3270,64.9000,0.3570,50.0000,0.8600
