Voltage,Current,Power,Energy,Frequency,PF
224.0000,0.0000,0.0000,0.2670,49.9000,0.0000
224.0000,0.3390,66.0000,0.2680,50.0000,0.8700
224.0000,0.4530,94.6000,0.2680,50.0000,0.9300
225.0000,0.4840,102.1000,0.2680,50.0000,0.9400
224.0000,0.4830,101.5000,0.2680,49.9000,0.9400
224.0000,0.4720,99.3000,0.2680,50.0000,0.9400
224.0000,0.4670,98.2000,0.2680,50.0000,0.9400
224.0000,0.4650,97.3000,0.2680,49.9000,0.9300
224.0000,0.4770,100.3000,0.2680,50.0000,0.9400
224.0000,0.5040,105.6000,0.2680,50.0000,0.9400
224.0000,0.5010,105.1000,0.2680,50.0000,0.9400
224.0000,0.4900,103.1000,0.2680,50.0000,0.9400
224.0000,0.4770,99.9000,0.2680,50.0000,0.9300
224.0000,0.5050,105.8000,0.2680,50.0000,0.9400
224.0000,0.4680,98.0000,0.2680,50.0000,0.9400
224.0000,0.4830,100.6000,0.2680,50.0000,0.9300
224.0000,0.5130,108.0000,0.2680,50.0000,0.9400
224.0000,0.5000,104.7000,0.2680,50.0000,0.9400
224.0000,0.4870,102.3000,0.2690,50.0000,0.9400
224.0000,0.4450,92.7000,0.2690,50.0000,0.9300
224.0000,0.5410,113.6000,0.2690,50.0000,0.9400
224.0000,0.5360,113.1000,0.2690,50.0000,0.9400
224.0000,0.5110,107.4000,0.2690,50.0000,0.9400
224.0000,0.5040,105.6000,0.2690,50.0000,0.9400
224.0000,0.5100,107.0000,0.2690,50.0000,0.9400
224.0000,0.4830,101.6000,0.2690,50.0000,0.9400
224.0000,0.4590,96.1000,0.2690,49.9000,0.9300
224.0000,0.4410,91.8000,0.2690,50.0000,0.9300
224.0000,0.4440,92.2000,0.2690,50.0000,0.9300
224.0000,0.4440,92.8000,0.2690,50.0000,0.9300
224.0000,0.4450,92.9000,0.2690,49.9000,0.9300
224.0000,0.4380,91.7000,0.2690,50.0000,0.9400
224.0000,0.4410,92.0000,0.2690,50.0000,0.9300
224.0000,0.4370,91.8000,0.2690,49.9000,0.9400
224.0000,0.4450,93.3000,0.2690,50.0000,0.9300
224.0000,0.4410,92.8000,0.2690,49.9000,0.9400
224.0000,0.4500,94.5000,0.2700,50.0000,0.9400
224.0000,0.4400,92.4000,0.2700,49.9000,0.9400
224.0000,0.4400,92.4000,0.2700,49.9000,0.9400
224.0000,0.4410,92.9000,0.2700,50.0000,0.9400
224.0000,0.4370,91.7000,0.2700,50.0000,0.9400
224.0000,0.4380,92.7000,0.2700,50.0000,0.9400
224.0000,0.4360,91.6000,0.2700,50.0000,0.9400
224.0000,0.4390,92.3000,0.2700,49.9000,0.9400
224.0000,0.4360,91.9000,0.2700,50.0000,0.9400
224.0000,0.4370,91.9000,0.2700,50.0000,0.9400
224.0000,0.4400,92.9000,0.2700,50.0000,0.9400
224.0000,0.4400,91.9000,0.2700,50.0000,0.9300
224.0000,0.4420,92.6000,0.2700,50.0000,0.9400
224.0000,0.4390,92.3000,0.2700,50.0000,0.9400
224.0000,0.4400,92.2000,0.2700,50.0000,0.9400
224.0000,0.4400,92.6000,0.2700,50.0000,0.9400
224.0000,0.4390,92.0000,0.2700,50.0000,0.9400
224.0000,0.4370,91.7000,0.2700,50.0000,0.9400
224.0000,0.4400,92.7000,0.2700,50.0000,0.9400
224.0000,0.4390,91.9000,0.2700,50.0000,0.9400
224.0000,0.4380,92.0000,0.2710,50.0000,0.9400
224.0000,0.4410,92.8000,0.2710,50.0000,0.9400
224.0000,0.4340,91.7000,0.2710,50.0000,0.9400
224.0000,0.4370,92.0000,0.2710,50.0000,0.9400
224.0000,0.4370,91.9000,0.2710,50.0000,0.9400
224.0000,0.4380,92.5000,0.2710,50.0000,0.9400
224.0000,0.4380,91.7000,0.2710,49.9000,0.9400
224.0000,0.4410,92.8000,0.2710,50.0000,0.9400
224.0000,0.4390,92.1000,0.2710,50.0000,0.9400
224.0000,0.4410,92.1000,0.2710,50.0000,0.9300
224.0000,0.4410,92.2000,0.2710,50.0000,0.9300
224.0000,0.4370,92.2000,0.2710,50.0000,0.9400
224.0000,0.4350,91.8000,0.2710,50.0000,0.9400
224.0000,0.4360,91.7000,0.2710,50.0000,0.9400
224.0000,0.4400,92.5000,0.2710,50.0000,0.9400
224.0000,0.4470,93.8000,0.2710,50.0000,0.9400
224.0000,0.4450,93.3000,0.2710,50.0000,0.9400
224.0000,0.4430,92.4000,0.2710,50.0000,0.9300
224.0000,0.4420,92.8000,0.2710,50.0000,0.9400
224.0000,0.4430,92.7000,0.2710,50.0000,0.9300
224.0000,0.4440,93.0000,0.2720,50.0000,0.9400
224.0000,0.4380,92.0000,0.2720,50.0000,0.9400
224.0000,0.4420,93.0000,0.2720,50.0000,0.9400
225.0000,0.4370,92.0000,0.2720,50.0000,0.9400
224.0000,0.4400,92.2000,0.2720,50.0000,0.9300
224.0000,0.4430,92.9000,0.2720,50.0000,0.9300
224.0000,0.4430,92.4000,0.2720,50.0000,0.9300
224.0000,0.4420,92.8000,0.2720,50.0000,0.9400
224.0000,0.4420,92.9000,0.2720,50.0000,0.9400
225.0000,0.4390,92.7000,0.2720,50.0000,0.9400
224.0000,0.4430,93.2000,0.2720,50.0000,0.9400
224.0000,0.4370,91.7000,0.2720,50.0000,0.9400
224.0000,0.4410,91.9000,0.2720,50.0000,0.9300
224.0000,0.4400,91.7000,0.2720,50.0000,0.9300
224.0000,0.4370,91.6000,0.2720,50.0000,0.9300
224.0000,0.4410,92.5000,0.2720,50.0000,0.9400
224.0000,0.4420,92.7000,0.2720,50.0000,0.9400
224.0000,0.4430,92.8000,0.2720,50.0000,0.9400
224.0000,0.4410,92.5000,0.2720,50.0000,0.9400
224.0000,0.4430,92.7000,0.2730,50.0000,0.9400
224.0000,0.4410,92.7000,0.2730,50.0000,0.9400
224.0000,0.4400,91.9000,0.2730,50.0000,0.9300
224.0000,0.4400,92.2000,0.2730,50.0000,0.9400
224.0000,0.4370,92.0000,0.2730,50.0000,0.9400
224.0000,0.4380,91.8000,0.2730,50.0000,0.9400
224.0000,0.4390,92.2000,0.2730,50.0000,0.9400
225.0000,0.4440,93.2000,0.2730,50.0000,0.9300
224.0000,0.4420,92.5000,0.2730,50.0000,0.9300
224.0000,0.4380,91.5000,0.2730,50.0000,0.9300
224.0000,0.4400,91.9000,0.2730,50.0000,0.9300
224.0000,0.4420,92.3000,0.2730,50.0000,0.9300
224.0000,0.4400,92.3000,0.2730,50.0000,0.9400
224.0000,0.4360,91.7000,0.2730,50.0000,0.9400
225.0000,0.4380,92.0000,0.2730,50.0000,0.9400
