Voltage,Current,Power,Energy,Frequency,PF
226.0000,0.0220,0.4000,0.2080,50.0000,0.0800
226.0000,0.0220,0.4000,0.2080,50.0000,0.0800
226.0000,0.0220,0.4000,0.2080,50.0000,0.0800
226.0000,0.0320,2.2000,0.2080,50.0000,0.3000
226.0000,0.0400,3.2000,0.2080,50.0000,0.3500
226.0000,0.1070,12.3000,0.2080,50.0000,0.5100
226.0000,0.1940,26.0000,0.2080,50.0000,0.5900
226.0000,0.0840,9.3000,0.2080,50.0000,0.4900
226.0000,0.0500,4.6000,0.2080,50.0000,0.4100
226.0000,0.0510,4.6000,0.2080,50.0000,0.4000
226.0000,0.0500,4.6000,0.2080,50.0000,0.4100
227.0000,0.0500,4.6000,0.2080,50.0000,0.4100
227.0000,0.0510,4.6000,0.2080,50.0000,0.4000
227.0000,0.0510,4.6000,0.2080,50.0000,0.4000
227.0000,0.0510,4.7000,0.2080,50.0000,0.4100
227.0000,0.0510,4.7000,0.2080,50.0000,0.4100
227.0000,0.0520,4.9000,0.2080,50.0000,0.4200
227.0000,0.0530,5.0000,0.2080,50.0000,0.4200
227.0000,0.0530,4.9000,0.2080,50.0000,0.4100
227.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0520,4.9000,0.2080,50.0000,0.4200
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
227.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0540,4.9000,0.2080,50.0000,0.4000
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0530,4.9000,0.2080,50.0000,0.4100
226.0000,0.0510,4.7000,0.2080,50.0000,0.4100
226.0000,0.0490,4.4000,0.2080,50.0000,0.4000
226.0000,0.0490,4.4000,0.2080,50.0000,0.4000
226.0000,0.0490,4.4000,0.2080,50.0000,0.4000
223.0000,0.0490,4.7000,0.2150,50.0000,0.4300
223.0000,0.0490,4.7000,0.2150,50.0000,0.4300
223.0000,0.0490,4.7000,0.2150,50.0000,0.4300
223.0000,0.0490,4.7000,0.2150,50.0000,0.4300
223.0000,0.0490,4.7000,0.2150,50.0000,0.4300
223.0000,0.0490,4.7000,0.2150,50.0000,0.4300
223.0000,0.0490,4.7000,0.2150,50.0000,0.4300
223.0000,0.0490,4.7000,0.2150,50.0000,0.4300
223.0000,0.0510,4.9000,0.2150,50.0000,0.4300
223.0000,0.0520,5.0000,0.2150,50.0000,0.4300
223.0000,0.0510,5.0000,0.2150,50.0000,0.4400
223.0000,0.0510,5.0000,0.2150,50.0000,0.4400
223.0000,0.0510,4.9000,0.2150,50.0000,0.4300
223.0000,0.0510,4.9000,0.2150,50.0000,0.4300
223.0000,0.0510,4.9000,0.2150,50.0000,0.4300
223.0000,0.0510,4.9000,0.2150,50.0000,0.4300
223.0000,0.0510,4.9000,0.2150,50.0000,0.4300
223.0000,0.0520,5.0000,0.2150,50.0000,0.4300
223.0000,0.0520,5.0000,0.2150,50.0000,0.4300
223.0000,0.0520,5.0000,0.2150,50.0000,0.4300
223.0000,0.0510,5.0000,0.2150,50.0000,0.4400
223.0000,0.0510,5.0000,0.2150,50.0000,0.4400
223.0000,0.0500,5.0000,0.2150,50.0000,0.4500
223.0000,0.0500,5.0000,0.2150,50.0000,0.4500
223.0000,0.0510,5.0000,0.2150,50.0000,0.4400
223.0000,0.0510,5.0000,0.2150,50.0000,0.4400
223.0000,0.0510,5.0000,0.2150,50.0000,0.4400
223.0000,0.0520,5.0000,0.2150,50.0000,0.4300
223.0000,0.0490,4.6000,0.2150,50.0000,0.4200
223.0000,0.0480,4.4000,0.2150,50.0000,0.4100
223.0000,0.0480,4.4000,0.2150,50.0000,0.4100
223.0000,0.0470,4.4000,0.2150,50.0000,0.4200
223.0000,0.0470,4.5000,0.2150,50.0000,0.4300
223.0000,0.0480,4.5000,0.2150,50.0000,0.4200
223.0000,0.0480,4.5000,0.2150,50.0000,0.4200
223.0000,0.0480,4.4000,0.2150,50.0000,0.4100
223.0000,0.0480,4.4000,0.2150,50.0000,0.4100
223.0000,0.0480,4.5000,0.2150,50.0000,0.4200
223.0000,0.0470,4.5000,0.2150,50.0000,0.4300
223.0000,0.0470,4.4000,0.2150,50.0000,0.4200
223.0000,0.0480,4.4000,0.2150,50.0000,0.4100
223.0000,0.0480,4.4000,0.2150,50.0000,0.4100
