Voltage,Current,Power,Energy,Frequency,PF
225.0000,0.1910,32.9000,0.2030,50.0000,0.7700
225.0000,0.1720,27.9000,0.2030,50.0000,0.7200
225.0000,0.2010,34.3000,0.2030,50.0000,0.7600
225.0000,0.1840,30.8000,0.2030,50.0000,0.7400
225.0000,0.1340,23.2000,0.2030,50.0000,0.7700
225.0000,0.1630,26.3000,0.2030,50.0000,0.7200
225.0000,0.1760,28.8000,0.2030,50.0000,0.7300
225.0000,0.1770,29.2000,0.2030,50.0000,0.7300
225.0000,0.1710,28.5000,0.2030,50.0000,0.7400
225.0000,0.1680,28.9000,0.2030,50.0000,0.7600
225.0000,0.1790,28.9000,0.2030,50.0000,0.7200
225.0000,0.1670,28.0000,0.2030,50.0000,0.7500
225.0000,0.1690,28.8000,0.2030,50.0000,0.7600
225.0000,0.1800,28.6000,0.2030,50.0000,0.7100
225.0000,0.1700,28.7000,0.2030,50.0000,0.7500
225.0000,0.1830,30.5000,0.2030,50.0000,0.7400
225.0000,0.2000,32.8000,0.2030,50.0000,0.7300
225.0000,0.1050,18.4000,0.2030,50.0000,0.7800
225.0000,0.0610,7.6000,0.2030,50.0000,0.5500
225.0000,0.1580,26.4000,0.2030,50.0000,0.7400
225.0000,0.1370,21.0000,0.2030,50.0000,0.6800
225.0000,0.2250,44.7000,0.2030,50.0000,0.8800
225.0000,0.1760,29.0000,0.2030,50.0000,0.7300
225.0000,0.1740,28.4000,0.2040,50.0000,0.7300
225.0000,0.1330,21.9000,0.2040,50.0000,0.7300
225.0000,0.1710,27.8000,0.2040,50.0000,0.7200
225.0000,0.0740,11.4000,0.2040,50.0000,0.6800
225.0000,0.1700,30.8000,0.2040,50.0000,0.8100
225.0000,0.2010,32.7000,0.2040,50.0000,0.7200
225.0000,0.2090,36.9000,0.2040,50.0000,0.7900
225.0000,0.1770,29.2000,0.2040,50.0000,0.7300
225.0000,0.2040,34.7000,0.2040,50.0000,0.7600
225.0000,0.2180,41.6000,0.2040,50.0000,0.8500
225.0000,0.1630,33.4000,0.2040,50.0000,0.9100
225.0000,0.1550,24.3000,0.2040,50.0000,0.7000
225.0000,0.1750,27.9000,0.2040,50.0000,0.7100
225.0000,0.1740,29.3000,0.2040,50.0000,0.7500
225.0000,0.1880,30.3000,0.2040,50.0000,0.7200
225.0000,0.1800,29.8000,0.2040,50.0000,0.7400
