Voltage,Current,Power,Energy,Frequency,PF
230.0000,0.1730,28.2000,0.3690,50.0000,0.7100
230.0000,0.1680,27.3000,0.3690,50.0000,0.7100
230.0000,0.1660,27.8000,0.3690,50.0000,0.7300
230.0000,0.1630,27.4000,0.3690,50.0000,0.7300
230.0000,0.1720,28.4000,0.3690,50.0000,0.7200
230.0000,0.1770,28.6000,0.3690,50.0000,0.7000
230.0000,0.1650,27.4000,0.3690,50.0000,0.7200
230.0000,0.1690,27.6000,0.3690,50.0000,0.7100
230.0000,0.1600,27.4000,0.3690,50.0000,0.7500
230.0000,0.1680,27.7000,0.3690,50.0000,0.7200
230.0000,0.1650,27.4000,0.3690,50.0000,0.7200
230.0000,0.1750,27.9000,0.3690,50.0000,0.6900
230.0000,0.1630,27.5000,0.3690,50.0000,0.7300
230.0000,0.1690,28.3000,0.3690,50.0000,0.7300
230.0000,0.1730,27.7000,0.3690,50.0000,0.7000
230.0000,0.1630,27.5000,0.3690,50.0000,0.7300
230.0000,0.1710,27.7000,0.3690,50.0000,0.7000
230.0000,0.1670,27.8000,0.3690,50.0000,0.7200
230.0000,0.1650,28.1000,0.3690,50.0000,0.7400
230.0000,0.1640,28.0000,0.3690,50.0000,0.7400
230.0000,0.1570,27.4000,0.3690,49.9000,0.7600
230.0000,0.1590,27.6000,0.3690,50.0000,0.7600
230.0000,0.1630,27.6000,0.3690,50.0000,0.7400
230.0000,0.1610,27.6000,0.3690,50.0000,0.7500
230.0000,0.1670,27.8000,0.3690,50.0000,0.7300
230.0000,0.1720,27.8000,0.3690,50.0000,0.7000
230.0000,0.1710,27.8000,0.3690,50.0000,0.7100
230.0000,0.1620,27.9000,0.3690,50.0000,0.7500
230.0000,0.1680,26.9000,0.3690,50.0000,0.7000
230.0000,0.1700,28.0000,0.3690,50.0000,0.7200
230.0000,0.1670,26.9000,0.3690,50.0000,0.7000
230.0000,0.1650,27.2000,0.3690,50.0000,0.7200
230.0000,0.1770,28.3000,0.3690,50.0000,0.7000
230.0000,0.1620,27.5000,0.3690,50.0000,0.7400
230.0000,0.1640,27.3000,0.3690,50.0000,0.7200
230.0000,0.1670,27.4000,0.3690,50.0000,0.7100
230.0000,0.1640,27.1000,0.3690,50.0000,0.7200
230.0000,0.1570,26.6000,0.3690,50.0000,0.7400
230.0000,0.1650,27.4000,0.3690,50.0000,0.7200
230.0000,0.1750,27.5000,0.3690,50.0000,0.6800
230.0000,0.1700,28.1000,0.3690,50.0000,0.7200
230.0000,0.1600,27.3000,0.3690,50.0000,0.7400
230.0000,0.1670,27.1000,0.3690,50.0000,0.7000
230.0000,0.1680,27.7000,0.3690,50.0000,0.7200
230.0000,0.1660,26.9000,0.3690,50.0000,0.7100
230.0000,0.1670,27.6000,0.3690,50.0000,0.7200
